ax,ay,az,label
-0.1299,1.0695,0.0973,walking
-0.1077,1.0941,0.1344,walking
0.0093,1.0520,0.2703,walking
0.0222,0.9056,0.1202,walking
-0.0527,0.7917,0.0948,walking
-0.0542,0.6901,0.0583,walking
-0.0271,0.6229,0.1355,walking
-0.0220,0.6151,0.1405,walking
-0.0081,0.7469,0.1941,walking
0.0122,0.8446,0.2659,walking
0.0071,0.9105,0.2367,walking
0.0375,1.0568,0.1926,walking
0.0389,1.1533,0.1167,walking
0.0614,1.1195,0.0607,walking
0.0919,1.2241,0.1752,walking
0.1334,1.2811,0.0186,walking
0.2003,1.0906,-0.1306,walking
0.1493,0.9376,0.0188,walking
0.0959,1.0730,0.0365,walking
0.1199,1.1315,0.0574,walking
0.1755,1.0425,0.0348,walking
0.1750,0.7823,0.0160,walking
0.0775,0.7693,0.1062,walking
0.0317,0.7666,0.1516,walking
0.0461,0.7382,0.2719,walking
0.0563,0.7350,0.2446,walking
0.0674,0.7804,0.2817,walking
0.0542,0.8215,0.2701,walking
0.0602,0.9131,0.2941,walking
0.0907,0.9611,0.2568,walking
0.1089,0.9359,0.2343,walking
0.1472,1.0018,0.2406,walking
0.1304,1.0372,0.1945,walking
0.1061,1.1508,0.2930,walking
0.0150,1.4495,0.1034,walking
0.0713,1.2804,-0.0093,walking
0.0583,0.9772,0.0808,walking
0.0165,0.9763,0.0746,walking
0.0209,1.0515,0.1035,walking
0.0289,1.0195,0.0955,walking
0.0085,0.9163,0.0459,walking
-0.0168,0.7499,0.1102,walking
0.0192,0.6669,0.1115,walking
0.0444,0.6575,0.1788,walking
0.0466,0.6851,0.2043,walking
0.0490,0.7491,0.1938,walking
0.0607,0.8694,0.2400,walking
0.0430,0.9082,0.1849,walking
0.0573,0.9480,0.1865,walking
0.0912,1.0472,0.1630,walking
0.1268,1.0651,0.1033,walking
0.1483,1.0723,0.1243,walking
0.0924,1.3684,0.0110,walking
0.1625,1.2526,-0.0632,walking
0.1998,0.9969,0.0017,walking
0.1528,0.9467,0.0428,walking
0.1265,1.0121,0.0355,walking
0.1440,1.1085,0.1256,walking
0.1635,0.9412,0.0581,walking
0.1302,0.8196,0.0613,walking
0.0668,0.7600,0.0762,walking
0.0415,0.7173,0.1681,walking
0.0721,0.7023,0.2711,walking
0.0854,0.7274,0.2922,walking
0.0721,0.7830,0.3064,walking
0.0653,0.8474,0.2853,walking
0.0781,0.8933,0.2867,walking
0.1030,0.9567,0.2593,walking
0.1353,1.0394,0.2885,walking
0.1128,1.1035,0.1755,walking
0.0646,1.0712,0.1398,walking
0.0563,1.1814,0.2683,walking
-0.0146,1.3064,-0.0209,walking
0.0143,1.0847,0.0038,walking
-0.0415,1.0054,0.1257,walking
-0.0746,1.0626,0.0435,walking
-0.0219,1.0784,0.1552,walking
0.0444,0.9866,0.0581,walking
