ax,ay,az,gx,gy,gz,label
-0.096,0.990,0.098,0.793,0.000,0.610,0
-0.087,0.990,0.095,1.404,0.000,0.732,0
-0.093,0.983,0.096,0.061,-0.549,0.793,0
-0.099,0.981,0.100,-0.793,-0.793,1.160,0
-0.107,0.972,0.096,0.183,-0.977,0.916,0
-0.112,0.963,0.105,0.244,-1.160,0.671,0
-0.109,0.979,0.104,-1.892,-1.587,1.038,0
-0.108,0.986,0.100,0.305,-1.953,1.160,0
-0.108,0.992,0.091,3.052,-2.075,1.221,0
-0.106,0.992,0.091,1.343,-2.014,1.221,0
-0.106,0.990,0.092,0.122,-1.831,1.404,0
-0.109,0.991,0.101,2.197,-1.770,0.916,0
-0.114,0.979,0.110,1.221,-1.892,0.305,0
-0.119,0.983,0.108,-0.183,-2.014,-0.183,0
-0.109,0.982,0.112,0.427,-2.075,-0.549,0
-0.102,0.989,0.110,3.113,-1.465,-0.732,0
-0.105,0.991,0.105,3.723,-1.404,-0.854,0
-0.114,0.980,0.103,-1.160,-1.526,-1.038,0
-0.115,0.974,0.102,-4.272,-1.404,-1.465,0
-0.108,0.978,0.101,-1.709,-1.282,-1.404,0
-0.098,0.971,0.106,-0.549,-0.977,-1.221,0
-0.098,0.975,0.105,-1.404,-0.916,-0.732,0
-0.095,0.980,0.100,-2.869,-0.916,0.000,0
-0.108,0.980,0.097,-2.747,-0.854,0.366,0
-0.111,0.978,0.092,0.610,-0.671,0.977,0
-0.110,0.977,0.094,3.052,-0.488,1.160,0
-0.120,0.977,0.096,0.916,-0.122,1.587,0
-0.114,0.968,0.096,-4.089,-0.122,1.587,0
-0.111,0.975,0.101,-2.747,-0.427,1.953,0
-0.106,0.982,0.106,1.587,-0.366,2.075,0
-0.108,0.988,0.101,2.930,-0.366,1.953,0
-0.112,0.987,0.102,-1.343,-0.793,1.770,0
-0.113,0.989,0.098,-2.869,-0.732,1.404,0
-0.109,0.989,0.100,-1.343,-0.549,1.221,0
-0.107,0.982,0.097,-0.122,-0.549,1.343,0
-0.108,0.976,0.096,-1.892,-0.549,1.526,0
-0.113,0.980,0.096,-3.418,-0.977,1.770,0
-0.117,0.981,0.097,-4.211,-0.916,1.709,0
-0.122,0.983,0.094,-2.319,-0.977,1.587,0
-0.115,0.984,0.091,-0.427,-0.793,1.221,0
-0.109,0.985,0.091,0.488,-0.793,0.793,0
-0.115,0.990,0.094,-1.587,-1.038,0.671,0
-0.121,0.986,0.096,-4.028,-1.099,0.549,0
-0.116,0.988,0.093,-1.404,-1.160,0.366,0
-0.118,0.986,0.091,3.723,-1.038,0.427,0
-0.112,0.985,0.090,5.310,-0.916,0.183,0
-0.111,0.981,0.090,1.465,-0.854,-0.122,0
-0.120,0.974,0.096,-2.197,-0.977,-0.427,0
-0.119,0.970,0.100,-2.258,-0.977,-0.671,0
-0.111,0.982,0.101,0.549,-0.977,-0.427,0
-0.110,0.984,0.094,2.930,-0.854,-0.671,0
-0.109,0.984,0.093,1.282,-0.671,-0.427,0
-0.115,0.979,0.089,-3.113,-0.793,0.061,0
-0.111,0.981,0.087,-4.333,-0.488,0.183,0
-0.111,0.983,0.096,-0.610,-0.305,0.488,0
-0.116,0.985,0.101,4.028,-0.305,0.488,0
-0.126,0.981,0.092,4.700,-0.366,1.038,0
-0.131,0.981,0.091,1.892,-0.549,0.854,0
-0.125,0.975,0.094,-1.831,-0.488,0.488,0
-0.117,0.983,0.101,-2.380,-0.305,0.488,0
-0.116,0.986,0.103,0.732,-0.366,0.488,0
-0.126,0.985,0.098,1.953,-0.366,0.183,0
-0.120,0.982,0.097,1.526,-0.122,0.000,0
-0.121,0.980,0.090,-0.488,-0.122,-0.244,0
-0.113,0.985,0.095,-0.122,0.122,-0.061,0
-0.114,0.978,0.096,1.160,0.183,-0.549,0
-0.116,0.980,0.098,0.549,0.366,-0.793,0
-0.120,0.976,0.094,-1.526,0.427,-0.732,0
-0.111,0.975,0.094,-4.150,0.427,-0.549,0
-0.106,0.974,0.093,-3.418,0.671,-0.244,0
-0.110,0.985,0.097,0.854,0.305,0.488,0
-0.117,0.979,0.094,5.127,0.183,0.793,0
-0.132,0.977,0.090,3.052,-0.061,1.099,0
-0.128,0.971,0.086,-2.258,-0.183,1.160,0
-0.123,0.974,0.092,-4.456,-0.244,1.221,0
-0.117,0.986,0.095,-1.160,-0.671,1.465,0
-0.119,0.987,0.094,2.625,-0.610,1.404,0
-0.123,0.984,0.094,5.005,-0.671,1.526,0
-0.126,0.983,0.089,5.066,-0.610,1.282,0
-0.129,0.980,0.092,0.671,-0.549,1.038,0
-0.131,0.979,0.096,-3.357,-0.549,0.366,0
-0.121,0.980,0.101,-2.991,-0.610,0.427,0
-0.116,0.990,0.102,1.282,-0.793,0.183,0
-0.121,0.987,0.098,4.822,-0.427,-0.427,0
-0.125,0.987,0.094,2.319,-0.366,-0.549,0
-0.120,0.983,0.094,-1.770,-0.122,-1.099,0
-0.128,0.984,0.101,-1.099,-0.122,-1.282,0
